    J         k(T,J)     kCCH2(T,J)     kHCCH(T,J)     kback(T,J)
    1    5.45641E-14    3.31622E-14    2.13917E-14    1.02508E-17
    2    1.41134E-13    8.56605E-14    5.54466E-14    2.64897E-17
    3    2.49880E-13    1.51626E-13    9.82084E-14    4.62435E-17
    4    3.65473E-13    2.21784E-13    1.43623E-13    6.55224E-17
    5    4.79949E-13    2.91387E-13    1.88479E-13    8.20848E-17
    6    5.85984E-13    3.56135E-13    2.29754E-13    9.46106E-17
    7    6.84741E-13    4.16205E-13    2.68432E-13    1.03462E-16
    8    7.75989E-13    4.71784E-13    3.04096E-13    1.08854E-16
    9    8.60006E-13    5.22764E-13    3.37130E-13    1.12118E-16
   10    9.36232E-13    5.69043E-13    3.67076E-13    1.13108E-16
   11    1.01507E-12    6.16826E-13    3.98126E-13    1.13615E-16
   12    1.08998E-12    6.62678E-13    4.27192E-13    1.13617E-16
   13    1.15511E-12    7.02370E-13    4.52624E-13    1.12714E-16
   14    1.22194E-12    7.43202E-13    4.78623E-13    1.11883E-16
   15    1.28432E-12    7.81410E-13    5.02796E-13    1.11344E-16
   16    1.34934E-12    8.21064E-13    5.28166E-13    1.11019E-16
   17    1.40681E-12    8.56232E-13    5.50464E-13    1.10211E-16
   18    1.45520E-12    8.85972E-13    5.69116E-13    1.09042E-16
   19    1.50170E-12    9.14432E-13    5.87159E-13    1.07930E-16
   20    1.54990E-12    9.43975E-13    6.05818E-13    1.07405E-16
   21    1.58152E-12    9.63143E-13    6.18273E-13    1.05546E-16
   22    1.62339E-12    9.88865E-13    6.34424E-13    1.04853E-16
   23    1.63980E-12    9.98937E-13    6.40759E-13    1.02721E-16
   24    1.65577E-12    1.00879E-12    6.46873E-13    1.00951E-16
   25    1.67287E-12    1.01893E-12    6.53837E-13    9.89260E-17
   26    1.67591E-12    1.02134E-12    6.54477E-13    9.72988E-17
   27    1.67762E-12    1.02224E-12    6.55285E-13    9.44926E-17
   28    1.68103E-12    1.02439E-12    6.56548E-13    9.35018E-17
   29    1.67330E-12    1.02012E-12    6.53089E-13    9.13773E-17
   30    1.64128E-12    1.00075E-12    6.40445E-13    8.82677E-17
   31    1.62678E-12    9.91434E-13    6.35257E-13    8.61797E-17
   32    1.60554E-12    9.78742E-13    6.26712E-13    8.35960E-17
   33    1.58718E-12    9.67584E-13    6.19514E-13    8.22026E-17
   34    1.55415E-12    9.47568E-13    6.06506E-13    7.90766E-17
   35    1.52652E-12    9.30446E-13    5.95994E-13    7.68044E-17
   36    1.48524E-12    9.05407E-13    5.79763E-13    7.43476E-17
   37    1.45195E-12    8.85033E-13    5.66847E-13    7.26711E-17
   38    1.43449E-12    8.74797E-13    5.59620E-13    7.12488E-17
   39    1.37925E-12    8.41101E-13    5.38085E-13    6.83020E-17
   40    1.33948E-12    8.16355E-13    5.23059E-13    6.62194E-17
   41    1.29599E-12    7.90095E-13    5.05834E-13    6.43035E-17
   42    1.24408E-12    7.58290E-13    4.85729E-13    6.13941E-17
   43    1.20902E-12    7.36970E-13    4.71986E-13    5.93543E-17
   44    1.15501E-12    7.03850E-13    4.51099E-13    5.66731E-17
   45    1.11600E-12    6.80158E-13    4.35786E-13    5.51627E-17
   46    1.06775E-12    6.50919E-13    4.16782E-13    5.29213E-17
   47    1.02321E-12    6.23770E-13    3.99394E-13    5.09021E-17
   48    9.79207E-13    5.97231E-13    3.81927E-13    4.89475E-17
   49    9.30956E-13    5.67708E-13    3.63201E-13    4.75190E-17
   50    8.87347E-13    5.41081E-13    3.46221E-13    4.55769E-17
   51    8.39705E-13    5.12110E-13    3.27551E-13    4.31964E-17
   52    7.96993E-13    4.85854E-13    3.11097E-13    4.16811E-17
   53    7.56163E-13    4.61191E-13    2.94931E-13    4.01576E-17
   54    7.18712E-13    4.38448E-13    2.80225E-13    3.85158E-17
   55    6.73360E-13    4.10767E-13    2.62557E-13    3.69494E-17
   56    6.26830E-13    3.82423E-13    2.44371E-13    3.49273E-17
   57    5.87845E-13    3.58618E-13    2.29193E-13    3.36706E-17
   58    5.45484E-13    3.32909E-13    2.12543E-13    3.18563E-17
   59    5.11634E-13    3.12126E-13    1.99477E-13    3.05187E-17
   60    4.71524E-13    2.87748E-13    1.83747E-13    2.90461E-17
